"","CountryName","SurveyId","Sex","Reference_period","tips","est","ci_l","ci_u"
"AF2015DHS.1","Afghanistan","AF2015DHS","Males",2013-08-01,"0-4",0.0859208661293859,0.0761520977836103,0.0955863395120355
"AF2015DHS.2","Afghanistan","AF2015DHS","Females",2013-08-01,"0-4",0.123494201682488,0.106002233098498,0.14064392224722
"AO2015DHS.1","Angola","AO2015DHS","Males",2013-08-01,"0-4",0.194624192696467,0.1651740590204,0.223035414749208
"AO2015DHS.2","Angola","AO2015DHS","Females",2013-08-01,"0-4",0.107083075821877,0.0869855809702184,0.12673817974203
"BF1999DHS.1","Burkina Faso","BF1999DHS","Males",1996-08-29,"0-4",0.198343838217699,0.168199921582355,0.227395358093659
"BF1999DHS.2","Burkina Faso","BF1999DHS","Females",1996-08-29,"0-4",0.162219484483619,0.136004014610298,0.187639521424031
"BF2003DHS.1","Burkina Faso","BF2003DHS","Males",2001-05-01,"0-4",0.188163959738392,0.163051412877647,0.212523007495921
"BF2003DHS.2","Burkina Faso","BF2003DHS","Females",2001-05-01,"0-4",0.154514065556211,0.131730110888342,0.176700154748361
"BF2010DHS.1","Burkina Faso","BF2010DHS","Males",2008-07-01,"0-4",0.132837785224895,0.117301572128501,0.148100548284725
"BF2010DHS.2","Burkina Faso","BF2010DHS","Females",2008-07-01,"0-4",0.13836987779041,0.121301480177097,0.155106728017999
"BF2021DHS.1","Burkina Faso","BF2021DHS","Males",2019-06-01,"0-4",0.0956983246372179,0.0830986084476192,0.10812490023665
"BF2021DHS.2","Burkina Faso","BF2021DHS","Females",2019-06-01,"0-4",0.0692213661380588,0.0579125689949594,0.0803944127248779
"BJ1996DHS.1","Benin","BJ1996DHS","Males",1994-01-30,"0-4",0.148485463387084,0.123656318873091,0.172611132277788
"BJ1996DHS.2","Benin","BJ1996DHS","Females",1994-01-30,"0-4",0.112322831549503,0.0903697657913617,0.133746080819519
"BJ2006DHS.1","Benin","BJ2006DHS","Males",2004-05-01,"0-4",0.161237994598371,0.144094796728458,0.178037825899084
"BJ2006DHS.2","Benin","BJ2006DHS","Females",2004-05-01,"0-4",0.125373961184305,0.11124614017537,0.139277203335715
"BJ2017DHS.1","Benin","BJ2017DHS","Males",2015-08-02,"0-4",0.147732009210752,0.131079018952926,0.164065842617061
"BJ2017DHS.2","Benin","BJ2017DHS","Females",2015-08-02,"0-4",0.10587376990759,0.0919709680923334,0.119563706394182
"BO1994DHS.1","Bolivia","BO1994DHS","Males",1991-10-30,"0-4",0.129638578505138,0.107968061365236,0.150782644413004
"BO1994DHS.2","Bolivia","BO1994DHS","Females",1991-10-30,"0-4",0.108729449852809,0.085824126749697,0.131060863884581
"BO2003DHS.1","Bolivia","BO2003DHS","Males",2001-07-01,"0-4",0.10304611066016,0.0900863634838578,0.115821274333003
"BO2003DHS.2","Bolivia","BO2003DHS","Females",2001-07-01,"0-4",0.0819469768811502,0.0687025711133396,0.0950030279099681
"BO2008DHS.1","Bolivia","BO2008DHS","Males",2005-11-30,"0-4",0.087493914007819,0.0750164089771936,0.0998031045588145
"BO2008DHS.2","Bolivia","BO2008DHS","Females",2005-11-30,"0-4",0.0729951897073297,0.0608137125565198,0.0850186701033321
"BR1996DHS.1","Brazil","BR1996DHS","Males",1993-11-30,"0-4",0.133495909640083,0.119577450607362,0.147194333983803
"BR1996DHS.2","Brazil","BR1996DHS","Females",1993-11-30,"0-4",0.056930961963364,0.0471044987881744,0.066656092538693
"BU2010DHS.1","Burundi","BU2010DHS","Males",2008-07-01,"0-4",0.164026228991954,0.136742359703361,0.190447772262673
"BU2010DHS.2","Burundi","BU2010DHS","Females",2008-07-01,"0-4",0.12546459903189,0.103396936621639,0.146989120620808
"BU2016DHS.1","Burundi","BU2016DHS","Males",2014-08-02,"0-4",0.170390330844,0.152796727036506,0.187618573816837
"BU2016DHS.2","Burundi","BU2016DHS","Females",2014-08-02,"0-4",0.118316498806379,0.102743640446895,0.133619073300052
"CD2007DHS.1","Congo Democratic Republic","CD2007DHS","Males",2005-01-29,"0-4",0.230110671810858,0.189080855961002,0.269064515227399
"CD2007DHS.2","Congo Democratic Republic","CD2007DHS","Females",2005-01-29,"0-4",0.204271510043849,0.176225585385451,0.231362593333069
"CD2013DHS.1","Congo Democratic Republic","CD2013DHS","Males",2011-08-02,"0-4",0.195389829235334,0.175192693301528,0.215092395956894
"CD2013DHS.2","Congo Democratic Republic","CD2013DHS","Females",2011-08-02,"0-4",0.176693104779178,0.157865700215496,0.195099589351006
"CF1994DHS.1","Central African Republic","CF1994DHS","Males",1992-08-29,"0-4",0.294474002704299,0.248882697996726,0.337298007205374
"CF1994DHS.2","Central African Republic","CF1994DHS","Females",1992-08-29,"0-4",0.304026129300545,0.266551957897701,0.339585627213629
"CG2005DHS.1","Congo","CG2005DHS","Males",2003-05-02,"0-4",0.228632836030511,0.194446539406159,0.261368325310523
"CG2005DHS.2","Congo","CG2005DHS","Females",2003-05-02,"0-4",0.209221119357472,0.1808846308256,0.236577335008948
"CG2011DHS.1","Congo","CG2011DHS","Males",2009-08-01,"0-4",0.180230676061257,0.149369964722758,0.209971766101634
"CG2011DHS.2","Congo","CG2011DHS","Females",2009-08-01,"0-4",0.20579295919294,0.174389339449735,0.236002084509053
"CI1994DHS.1","Cote d'Ivoire","CI1994DHS","Males",1992-05-01,"0-4",0.21836603428355,0.190238858342234,0.245516208507034
"CI1994DHS.2","Cote d'Ivoire","CI1994DHS","Females",1992-05-01,"0-4",0.187616843092819,0.156272616381979,0.217796640904969
"CI2005AIS.1","Cote d'Ivoire","CI2005AIS","Males",2003-04-01,"0-4",0.264143567550445,0.202382472972791,0.32112237904858
"CI2005AIS.2","Cote d'Ivoire","CI2005AIS","Females",2003-04-01,"0-4",0.227660708845618,0.176036620119418,0.276050374050233
"CI2012DHS.1","Cote d'Ivoire","CI2012DHS","Males",2009-10-30,"0-4",0.184522797100458,0.15724077011125,0.210921643021761
"CI2012DHS.2","Cote d'Ivoire","CI2012DHS","Females",2009-10-30,"0-4",0.207930381899358,0.181363572190371,0.233635031858133
"CI2021DHS.1","Cote d'Ivoire","CI2021DHS","Males",2019-06-01,"0-4",0.136678515975953,0.114047409362199,0.158731525079778
"CI2021DHS.2","Cote d'Ivoire","CI2021DHS","Females",2019-06-01,"0-4",0.133873699248607,0.110989689761102,0.156168651574241
"CM1998DHS.1","Cameroon","CM1998DHS","Males",1995-11-30,"0-4",0.203806338529334,0.171933585851135,0.234452290620131
"CM1998DHS.2","Cameroon","CM1998DHS","Females",1995-11-30,"0-4",0.148504275506555,0.121360593852468,0.174809411280975
"CM2004DHS.1","Cameroon","CM2004DHS","Males",2002-01-30,"0-4",0.245085109197929,0.220809438440153,0.268604471781796
"CM2004DHS.2","Cameroon","CM2004DHS","Females",2002-01-30,"0-4",0.225690157350563,0.204346965500321,0.246460823465838
"CM2011DHS.1","Cameroon","CM2011DHS","Males",2009-01-29,"0-4",0.226619626030316,0.207817956727552,0.244975056022844
"CM2011DHS.2","Cameroon","CM2011DHS","Females",2009-01-29,"0-4",0.21631259368437,0.199064683731927,0.233189074893836
"CM2018DHS.1","Cameroon","CM2018DHS","Males",2016-05-31,"0-4",0.183179981241705,0.161490000783296,0.204308900707728
"CM2018DHS.2","Cameroon","CM2018DHS","Females",2016-05-31,"0-4",0.152780305920279,0.135119281334187,0.170080689110744
"CO2015DHS.1","Colombia","CO2015DHS","Males",2013-08-30,"0-4",0.10271841324356,0.0881543104479303,0.117049896537149
"CO2015DHS.2","Colombia","CO2015DHS","Females",2013-08-30,"0-4",0.0498913206638746,0.0323003277130909,0.0671625418488343
"DR2002DHS.1","Dominican Republic","DR2002DHS","Males",2000-05-31,"0-4",0.135760522134685,0.116717150263692,0.154393323357414
"DR2002DHS.2","Dominican Republic","DR2002DHS","Females",2000-05-31,"0-4",0.0678487994381638,0.0563881386891067,0.0791702644541123
"DR2007DHS.1","Dominican Republic","DR2007DHS","Males",2005-01-29,"0-4",0.123560202695169,0.110500142534685,0.136428508837972
"DR2007DHS.2","Dominican Republic","DR2007DHS","Females",2005-01-29,"0-4",0.0663571032871101,0.0572621040673419,0.0753643591254312
"ET2000DHS.1","Ethiopia","ET2000DHS","Males",1997-10-30,"0-4",0.27232312653889,0.241743374134155,0.301669627264398
"ET2000DHS.2","Ethiopia","ET2000DHS","Females",1997-10-30,"0-4",0.217395381292718,0.192871495857765,0.241174130167953
"ET2005DHS.1","Ethiopia","ET2005DHS","Males",2003-01-30,"0-4",0.192789014773066,0.171265135870107,0.213753876090207
"ET2005DHS.2","Ethiopia","ET2005DHS","Females",2003-01-30,"0-4",0.199887505948877,0.174884343803648,0.224133006895259
"ET2011DHS.1","Ethiopia","ET2011DHS","Males",2008-10-29,"0-4",0.163878392275581,0.142775337169067,0.184461934873719
"ET2011DHS.2","Ethiopia","ET2011DHS","Females",2008-10-29,"0-4",0.129392219341254,0.106483646891878,0.151713446422141
"ET2016DHS.1","Ethiopia","ET2016DHS","Males",2013-11-30,"0-4",0.11324285842192,0.0960200197653034,0.130137563515982
"ET2016DHS.2","Ethiopia","ET2016DHS","Females",2013-11-30,"0-4",0.0846297216198304,0.0673010917665672,0.101636402546231
"GA2000DHS.1","Gabon","GA2000DHS","Males",1998-07-02,"0-4",0.213462334549875,0.173145086332766,0.251813723367793
"GA2000DHS.2","Gabon","GA2000DHS","Females",1998-07-02,"0-4",0.184512373878107,0.147686217403757,0.219747372461589
"GA2012DHS.1","Gabon","GA2012DHS","Males",2009-10-30,"0-4",0.168428327388638,0.134496801125731,0.201029588811359
"GA2012DHS.2","Gabon","GA2012DHS","Females",2009-10-30,"0-4",0.138508315127358,0.112142141100493,0.164091508944218
"GA2019DHS.1","Gabon","GA2019DHS","Males",2019-04-01,"0-4",0.122582471576288,0.0950124362303764,0.149312598309744
"GA2019DHS.2","Gabon","GA2019DHS","Females",2019-04-01,"0-4",0.151754489034494,0.11619994515652,0.18587870307322
"GM2013DHS.1","Gambia","GM2013DHS","Males",2010-09-30,"0-4",0.0908501086435813,0.0709414154616421,0.110332180651346
"GM2013DHS.2","Gambia","GM2013DHS","Females",2010-09-30,"0-4",0.0931535127825237,0.0704006897412823,0.115349438942891
"GM2019DHS.1","Gambia","GM2019DHS","Males",2017-08-30,"0-4",0.125508157864743,0.10647014295305,0.144140538864016
"GM2019DHS.2","Gambia","GM2019DHS","Females",2017-08-30,"0-4",0.0991765057060821,0.0769926219933179,0.120827214161196
"GN1999DHS.1","Guinea","GN1999DHS","Males",1996-12-29,"0-4",0.171867917565926,0.14481166118351,0.19806817419226
"GN1999DHS.2","Guinea","GN1999DHS","Females",1996-12-29,"0-4",0.140910852421868,0.116030863016966,0.165090575440886
"GN2005DHS.1","Guinea","GN2005DHS","Males",2002-11-30,"0-4",0.197096192438405,0.167924004634277,0.225245617242496
"GN2005DHS.2","Guinea","GN2005DHS","Females",2002-11-30,"0-4",0.196742018591102,0.170604323325666,0.22205600674906
"GN2012DHS.1","Guinea","GN2012DHS","Males",2010-04-01,"0-4",0.175944894452845,0.151484616515988,0.199700052354881
"GN2012DHS.2","Guinea","GN2012DHS","Females",2010-04-01,"0-4",0.165089882254803,0.140884003142161,0.188613752668086
"GU1995DHS.1","Guatemala","GU1995DHS","Males",1993-05-31,"0-4",0.117307257420896,0.0980169695236547,0.136184992981135
"GU1995DHS.2","Guatemala","GU1995DHS","Females",1993-05-31,"0-4",0.0636953422603841,0.0488640396313275,0.0782953766514177
"GU2015DHS.1","Guatemala","GU2015DHS","Males",2012-11-29,"0-4",0.108109540566268,0.0972426494815904,0.118845622057672
"GU2015DHS.2","Guatemala","GU2015DHS","Females",2012-11-29,"0-4",0.0495861449892741,0.0423982329704026,0.0567201033909218
"HT2000DHS.1","Haiti","HT2000DHS","Males",1997-12-30,"0-4",0.202620222593738,0.15031135165734,0.251708833986858
"HT2000DHS.2","Haiti","HT2000DHS","Females",1997-12-30,"0-4",0.214631430402868,0.196449269474847,0.232402178630416
"HT2006DHS.1","Haiti","HT2006DHS","Males",2003-11-30,"0-4",0.166593156338655,0.142841219975223,0.189686924700825
"HT2006DHS.2","Haiti","HT2006DHS","Females",2003-11-30,"0-4",0.180488200891254,0.15513308132995,0.205082393407408
"HT2016DHS.1","Haiti","HT2016DHS","Males",2014-09-30,"0-4",0.16263233690402,0.141052601474847,0.183669914592228
"HT2016DHS.2","Haiti","HT2016DHS","Females",2014-09-30,"0-4",0.134280862466678,0.115519213806469,0.152644538139861
"ID1994DHS.1","Indonesia","ID1994DHS","Males",1992-05-01,"0-4",0.10406902625514,0.0888412637237046,0.119042294435063
"ID1994DHS.2","Indonesia","ID1994DHS","Females",1992-05-01,"0-4",0.0840070491801166,0.0710324228652364,0.0968004625741649
"ID1997DHS.1","Indonesia","ID1997DHS","Males",1995-06-01,"0-4",0.0791000940285539,0.0677946527456222,0.0902684271056826
"ID1997DHS.2","Indonesia","ID1997DHS","Females",1995-06-01,"0-4",0.0679451712214383,0.0566464147394287,0.0791085999747633
"ID2003DHS.1","Indonesia","ID2003DHS","Males",2000-09-29,"0-4",0.0824566608027695,0.0689133208896607,0.0958030028851528
"ID2003DHS.2","Indonesia","ID2003DHS","Females",2000-09-29,"0-4",0.0676706856876652,0.0568529918800962,0.0783643028684657
"ID2007DHS.1","Indonesia","ID2007DHS","Males",2005-08-01,"0-4",0.0940309586888141,0.0826666683763017,0.105254463651165
"ID2007DHS.2","Indonesia","ID2007DHS","Females",2005-08-01,"0-4",0.0703610710169187,0.0599853387187798,0.0806222776324731
"ID2012DHS.1","Indonesia","ID2012DHS","Males",2009-12-30,"0-4",0.108024447155085,0.0973316038511634,0.118590625009757
"ID2012DHS.2","Indonesia","ID2012DHS","Females",2009-12-30,"0-4",0.0877079076765466,0.0785740455447816,0.096751228146186
"JO1997DHS.1","Jordan","JO1997DHS","Males",1995-04-01,"0-4",0.057198389550277,0.0435730445350944,0.0706296266665533
"JO1997DHS.2","Jordan","JO1997DHS","Females",1995-04-01,"0-4",0.0338501521521042,0.0233163015745568,0.044270391733411
"KE1998DHS.1","Kenya","KE1998DHS","Males",1995-12-30,"0-4",0.199430831782619,0.173947246707065,0.224128252650482
"KE1998DHS.2","Kenya","KE1998DHS","Females",1995-12-30,"0-4",0.184460293887101,0.159943556804937,0.208261519050959
"KE2003DHS.1","Kenya","KE2003DHS","Males",2001-03-01,"0-4",0.253497815883819,0.225252050479889,0.280713797002746
"KE2003DHS.2","Kenya","KE2003DHS","Females",2001-03-01,"0-4",0.242662716269976,0.214649767206908,0.269676461051383
"KE2008DHS.1","Kenya","KE2008DHS","Males",2006-08-02,"0-4",0.227670730883579,0.191875593009208,0.261880355581562
"KE2008DHS.2","Kenya","KE2008DHS","Females",2006-08-02,"0-4",0.191060998674646,0.160983551612876,0.220060215597432
"KE2014DHS.1","Kenya","KE2014DHS","Males",2012-03-31,"0-4",0.177816598750973,0.157471316220888,0.197670585816348
"KE2014DHS.2","Kenya","KE2014DHS","Females",2012-03-31,"0-4",0.129102378601199,0.112886247219152,0.145022084732059
"KH2000DHS.1","Cambodia","KH2000DHS","Males",1997-12-30,"0-4",0.156630897511864,0.138635389829187,0.17425044559168
"KH2000DHS.2","Cambodia","KH2000DHS","Females",1997-12-30,"0-4",0.124018340754389,0.108462251295243,0.139302998162999
"KH2005DHS.1","Cambodia","KH2005DHS","Males",2003-08-30,"0-4",0.176688793933491,0.159124534909473,0.193886169622377
"KH2005DHS.2","Cambodia","KH2005DHS","Females",2003-08-30,"0-4",0.106701913665575,0.0929614293248203,0.120234247089685
"KH2010DHS.1","Cambodia","KH2010DHS","Males",2008-07-01,"0-4",0.131952801270267,0.116148745905242,0.14747426591109
"KH2010DHS.2","Cambodia","KH2010DHS","Females",2008-07-01,"0-4",0.0913500662442579,0.0769812050170711,0.105495243864904
"KH2014DHS.1","Cambodia","KH2014DHS","Males",2012-05-31,"0-4",0.11693878396099,0.101891703796352,0.131733762433173
"KH2014DHS.2","Cambodia","KH2014DHS","Females",2012-05-31,"0-4",0.069041274635307,0.0581390456644623,0.079817308124764
"KH2021DHS.1","Cambodia","KH2021DHS","Males",2019-08-02,"0-4",0.0998085323752442,0.0865101050411121,0.112913363512487
"KH2021DHS.2","Cambodia","KH2021DHS","Females",2019-08-02,"0-4",0.0457074983319291,0.0369802954049087,0.0543556124609053
"KM2012DHS.1","Comoros","KM2012DHS","Males",2010-06-01,"0-4",0.0642328448266221,0.0395698455443302,0.088262520039718
"KM2012DHS.2","Comoros","KM2012DHS","Females",2010-06-01,"0-4",0.0704520888529636,0.0485486405475133,0.09185129588228
"LB2007DHS.1","Liberia","LB2007DHS","Males",2004-09-29,"0-4",0.189515629268734,0.152364502890653,0.225038454099903
"LB2007DHS.2","Liberia","LB2007DHS","Females",2004-09-29,"0-4",0.172168001240176,0.143459263011871,0.199914506599604
"LB2013DHS.1","Liberia","LB2013DHS","Males",2010-12-30,"0-4",0.134357459089621,0.110044956582324,0.158005773239833
"LB2013DHS.2","Liberia","LB2013DHS","Females",2010-12-30,"0-4",0.178399805834246,0.144323746266487,0.211118835999122
"LB2019DHS.1","Liberia","LB2019DHS","Males",2017-08-01,"0-4",0.194193202322802,0.157621722284875,0.229176947743696
"LB2019DHS.2","Liberia","LB2019DHS","Females",2017-08-01,"0-4",0.155470705587412,0.131559507306638,0.178723545111272
"LS2004DHS.1","Lesotho","LS2004DHS","Males",2002-07-02,"0-4",0.504245097215189,0.46988924673661,0.536374385687923
"LS2004DHS.2","Lesotho","LS2004DHS","Females",2002-07-02,"0-4",0.446537513133176,0.41291209001193,0.478237042259934
"LS2009DHS.1","Lesotho","LS2009DHS","Males",2007-07-02,"0-4",0.54166069144612,0.50780244019367,0.573189834894124
"LS2009DHS.2","Lesotho","LS2009DHS","Females",2007-07-02,"0-4",0.459299661798785,0.423946759586992,0.49248292480518
"LS2014DHS.1","Lesotho","LS2014DHS","Males",2012-05-31,"0-4",0.477551933936393,0.427210852582148,0.523468656897434
"LS2014DHS.2","Lesotho","LS2014DHS","Females",2012-05-31,"0-4",0.443568606813627,0.40395129324152,0.480552693408015
"MA1992DHS.1","Morocco","MA1992DHS","Males",1989-09-30,"0-4",0.0727779843253549,0.0574540047325887,0.087852825571835
"MA1992DHS.2","Morocco","MA1992DHS","Females",1989-09-30,"0-4",0.0610727176223052,0.0482606182516264,0.0737123434215082
"MA2003DHS.1","Morocco","MA2003DHS","Males",2001-08-01,"0-4",0.0527136870859419,0.0446420817446408,0.0607170972393027
"MA2003DHS.2","Morocco","MA2003DHS","Females",2001-08-01,"0-4",0.0396933835699248,0.0328646554838895,0.0464738955220576
"MD1997DHS.1","Madagascar","MD1997DHS","Males",1995-06-01,"0-4",0.204035158987927,0.173230587483308,0.23369198408198
"MD1997DHS.2","Madagascar","MD1997DHS","Females",1995-06-01,"0-4",0.151340472095633,0.127765520712187,0.174278234344817
"MD2004DHS.1","Madagascar","MD2004DHS","Males",2001-08-30,"0-4",0.156165863320054,0.128090844717889,0.183336881012564
"MD2004DHS.2","Madagascar","MD2004DHS","Females",2001-08-30,"0-4",0.116271976708643,0.0930109615207604,0.138936430301385
"MD2008DHS.1","Madagascar","MD2008DHS","Males",2007-01-30,"0-4",0.150068148821083,0.135476975921681,0.164413056068039
"MD2008DHS.2","Madagascar","MD2008DHS","Females",2007-01-30,"0-4",0.142881850506826,0.126510799137576,0.158946073442857
"ML1996DHS.1","Mali","ML1996DHS","Males",1993-10-30,"0-4",0.146017061823469,0.124330895850959,0.167166164432251
"ML1996DHS.2","Mali","ML1996DHS","Females",1993-10-30,"0-4",0.127883476996835,0.108874927523921,0.146486555942406
