"","CountryName","SurveyId","Sex","Reference_period","tips","est","ci_l","ci_u"
"ML2001DHS.1","Mali","ML2001DHS","Males",1998-10-30,"0-4",0.175729606791619,0.154171614483317,0.196738141266248
"ML2001DHS.2","Mali","ML2001DHS","Females",1998-10-30,"0-4",0.177147260280987,0.15251594179343,0.201062692912567
"ML2006DHS.1","Mali","ML2006DHS","Males",2004-05-31,"0-4",0.169739528650791,0.146925956188646,0.191943002737231
"ML2006DHS.2","Mali","ML2006DHS","Females",2004-05-31,"0-4",0.141477100909764,0.12029981737871,0.162144577410406
"ML2012DHS.1","Mali","ML2012DHS","Males",2010-08-02,"0-4",0.102867852060405,0.0840102852007977,0.12133719640821
"ML2012DHS.2","Mali","ML2012DHS","Females",2010-08-02,"0-4",0.0980548908673188,0.075347368702018,0.120204764089185
"ML2018DHS.1","Mali","ML2018DHS","Males",2016-05-01,"0-4",0.134267914650294,0.114887963655505,0.153223532357162
"ML2018DHS.2","Mali","ML2018DHS","Females",2016-05-01,"0-4",0.128748489202278,0.106676878851333,0.150274769457145
"MM2016DHS.1","Myanmar","MM2016DHS","Males",2013-12-30,"0-4",0.153120541029244,0.134819774059561,0.171034200132107
"MM2016DHS.2","Myanmar","MM2016DHS","Females",2013-12-30,"0-4",0.0592278917879595,0.0485003118872547,0.0698345247540896
"MR2020DHS.1","Mauritania","MR2020DHS","Males",2018-09-30,"0-4",0.0982407317726578,0.082033042254398,0.114162257178687
"MR2020DHS.2","Mauritania","MR2020DHS","Females",2018-09-30,"0-4",0.0915752837070213,0.0743976986139525,0.108434082395618
"MW1992DHS.1","Malawi","MW1992DHS","Males",1990-05-02,"0-4",0.234650230035116,0.189532483175685,0.277256326471285
"MW1992DHS.2","Malawi","MW1992DHS","Females",1990-05-02,"0-4",0.231802981884316,0.192102612239315,0.269552461015462
"MW2000DHS.1","Malawi","MW2000DHS","Males",1998-05-02,"0-4",0.415000761898813,0.390196552691724,0.438796041430111
"MW2000DHS.2","Malawi","MW2000DHS","Females",1998-05-02,"0-4",0.397788008559774,0.370534872223932,0.423861201150735
"MW2004DHS.1","Malawi","MW2004DHS","Males",2002-07-02,"0-4",0.386698443835912,0.353781280249645,0.417938869151608
"MW2004DHS.2","Malawi","MW2004DHS","Females",2002-07-02,"0-4",0.396500378978428,0.368205071846836,0.423528464152397
"MW2010DHS.1","Malawi","MW2010DHS","Males",2008-05-01,"0-4",0.324745984478001,0.299194041851797,0.349366282953094
"MW2010DHS.2","Malawi","MW2010DHS","Females",2008-05-01,"0-4",0.281152356784721,0.260559276812186,0.301171929064946
"MW2015DHS.1","Malawi","MW2015DHS","Males",2013-08-01,"0-4",0.207393165962012,0.186891244511762,0.227378146990313
"MW2015DHS.2","Malawi","MW2015DHS","Females",2013-08-01,"0-4",0.159351120667772,0.142143813286204,0.176213275293075
"MZ1997DHS.1","Mozambique","MZ1997DHS","Males",1994-12-30,"0-4",0.178924218323932,0.136361287576926,0.21938950911141
"MZ1997DHS.2","Mozambique","MZ1997DHS","Females",1994-12-30,"0-4",0.132563357837972,0.100046006183857,0.163905784811646
"MZ2003DHS.1","Mozambique","MZ2003DHS","Males",2001-07-01,"0-4",0.256665616750103,0.230814403081995,0.281648008574964
"MZ2003DHS.2","Mozambique","MZ2003DHS","Females",2001-07-01,"0-4",0.235620801826787,0.204001211472437,0.265984362010505
"MZ2011DHS.1","Mozambique","MZ2011DHS","Males",2009-05-01,"0-4",0.248500919533347,0.222116307131634,0.273990606667991
"MZ2011DHS.2","Mozambique","MZ2011DHS","Females",2009-05-01,"0-4",0.203869039002618,0.181536964521208,0.225591774358101
"NG2008DHS.1","Nigeria","NG2008DHS","Males",2006-04-01,"0-4",0.166077041618932,0.152982429208869,0.178969215638008
"NG2008DHS.2","Nigeria","NG2008DHS","Females",2006-04-01,"0-4",0.159386586926199,0.147174069006762,0.171424220864612
"NG2013DHS.1","Nigeria","NG2013DHS","Males",2010-11-30,"0-4",0.116755924536597,0.106908138010026,0.126495123241913
"NG2013DHS.2","Nigeria","NG2013DHS","Females",2010-11-30,"0-4",0.117964927116524,0.107516327793495,0.128291201257352
"NG2018DHS.1","Nigeria","NG2018DHS","Males",2016-05-31,"0-4",0.113707386907631,0.103648771793334,0.123653126918026
"NG2018DHS.2","Nigeria","NG2018DHS","Females",2016-05-31,"0-4",0.113548846916377,0.104642336469999,0.122366760446055
"NI1992DHS.1","Niger","NI1992DHS","Males",1989-11-30,"0-4",0.143654369225599,0.11519701853539,0.171196464400998
"NI1992DHS.2","Niger","NI1992DHS","Females",1989-11-30,"0-4",0.157600084201946,0.124178741779879,0.189746068074755
"NI2006DHS.1","Niger","NI2006DHS","Males",2003-10-30,"0-4",0.119498209135803,0.101203391840381,0.137420639245031
"NI2006DHS.2","Niger","NI2006DHS","Females",2003-10-30,"0-4",0.13944826813656,0.120741648128604,0.15775689632405
"NI2012DHS.1","Niger","NI2012DHS","Males",2009-11-30,"0-4",0.135702532404793,0.115828740788259,0.155129614643361
"NI2012DHS.2","Niger","NI2012DHS","Females",2009-11-30,"0-4",0.130041085329464,0.11235851901668,0.147371400020276
"NM1992DHS.1","Namibia","NM1992DHS","Males",1990-05-02,"0-4",0.222087612335112,0.188649034426236,0.254148070860378
"NM1992DHS.2","Namibia","NM1992DHS","Females",1990-05-02,"0-4",0.127916011983171,0.102164403553261,0.15292901599669
"NM2000DHS.1","Namibia","NM2000DHS","Males",1998-06-01,"0-4",0.291891964829303,0.251864947808895,0.32977744057737
"NM2000DHS.2","Namibia","NM2000DHS","Females",1998-06-01,"0-4",0.193883641045225,0.15882219182878,0.22748368078413
"NM2006DHS.1","Namibia","NM2006DHS","Males",2004-08-29,"0-4",0.399509320808224,0.367441382311455,0.429951555930354
"NM2006DHS.2","Namibia","NM2006DHS","Females",2004-08-29,"0-4",0.308299566646477,0.282208440169359,0.333442302366526
"NM2013DHS.1","Namibia","NM2013DHS","Males",2011-03-02,"0-4",0.220721868235647,0.196460499292148,0.244250710623209
"NM2013DHS.2","Namibia","NM2013DHS","Females",2011-03-02,"0-4",0.143585007559283,0.122375012426532,0.1642824102979
"NP1996DHS.1","Nepal","NP1996DHS","Males",1993-11-30,"0-4",0.108648357350742,0.0887585003260616,0.128104074344922
"NP1996DHS.2","Nepal","NP1996DHS","Females",1993-11-30,"0-4",0.117546613323038,0.0975644089716003,0.137086361177068
"NP2006DHS.1","Nepal","NP2006DHS","Males",2004-01-30,"0-4",0.0933783600267987,0.0736483858552217,0.112688113760621
"NP2006DHS.2","Nepal","NP2006DHS","Females",2004-01-30,"0-4",0.0770859198081798,0.0604914807004712,0.0933872531018989
"NP2016DHS.1","Nepal","NP2016DHS","Males",2014-07-02,"0-4",0.0848110025460872,0.0698106522852758,0.0995694552744232
"NP2016DHS.2","Nepal","NP2016DHS","Females",2014-07-02,"0-4",0.0734249606628925,0.0591469902684274,0.0874862548747056
"PE1992DHS.1","Peru","PE1992DHS","Males",1989-08-30,"0-4",0.102750255355655,0.0889751523280707,0.116317072666439
"PE1992DHS.2","Peru","PE1992DHS","Females",1989-08-30,"0-4",0.0681097939789914,0.0576346753816748,0.0784684735406587
"PE1996DHS.1","Peru","PE1996DHS","Males",1994-05-02,"0-4",0.0990209772363249,0.0880513674056048,0.109858636279975
"PE1996DHS.2","Peru","PE1996DHS","Females",1994-05-02,"0-4",0.0675732723875753,0.0581586021446197,0.0768938333505763
"PE2000DHS.1","Peru","PE2000DHS","Males",1998-05-02,"0-4",0.0730138068313604,0.0647632152400063,0.0811916122976213
"PE2000DHS.2","Peru","PE2000DHS","Females",1998-05-02,"0-4",0.0425676245478094,0.0358728944717559,0.0492158675885599
"PE2004DHS.1","Peru","PE2004DHS","Males",2004-05-31,"0-4",0.067030832453113,0.0603255255272478,0.073688291808153
"PE2004DHS.2","Peru","PE2004DHS","Females",2004-05-31,"0-4",0.046092051203159,0.0395851194894653,0.0525548976353916
"PE2007DHS.1","Peru","PE2007DHS","Males",2006-04-01,"0-4",0.067030832453113,0.0603255255272478,0.073688291808153
"PE2007DHS.2","Peru","PE2007DHS","Females",2006-04-01,"0-4",0.046092051203159,0.0395851194894653,0.0525548976353916
"PG2017DHS.1","Papua New Guinea","PG2017DHS","Males",2016-05-31,"0-4",0.102110133508813,0.0855843820819316,0.118337223741735
"PG2017DHS.2","Papua New Guinea","PG2017DHS","Females",2016-05-31,"0-4",0.0865573096308889,0.0704276184563768,0.102407122721079
"PH1993DHS.1","Philippines","PH1993DHS","Males",1990-10-30,"0-4",0.129147282288367,0.115783795448273,0.142308801804625
"PH1993DHS.2","Philippines","PH1993DHS","Females",1990-10-30,"0-4",0.0622007777407585,0.0529741075156765,0.0713375544960653
"PH1998DHS.1","Philippines","PH1998DHS","Males",1995-09-30,"0-4",0.132415205783679,0.118006983896162,0.146588055220202
"PH1998DHS.2","Philippines","PH1998DHS","Females",1995-09-30,"0-4",0.0693513799589018,0.0588674384420675,0.079718533433097
"RW2000DHS.1","Rwanda","RW2000DHS","Males",1998-01-30,"0-4",0.454489714614187,0.420774693752035,0.486242282145185
"RW2000DHS.2","Rwanda","RW2000DHS","Females",1998-01-30,"0-4",0.327308335538598,0.299705614383583,0.353823071082404
"RW2005DHS.1","Rwanda","RW2005DHS","Males",2002-12-30,"0-4",0.262043873541986,0.239336867493344,0.284073039293579
"RW2005DHS.2","Rwanda","RW2005DHS","Females",2002-12-30,"0-4",0.238152787383184,0.217783989384191,0.257991184666399
"RW2010DHS.1","Rwanda","RW2010DHS","Males",2008-08-29,"0-4",0.151201459948229,0.133736783964002,0.16831403174335
"RW2010DHS.2","Rwanda","RW2010DHS","Females",2008-08-29,"0-4",0.114232291477789,0.101395073474557,0.126886120584301
"RW2015DHS.1","Rwanda","RW2015DHS","Males",2012-09-29,"0-4",0.114073898610787,0.0983815450862322,0.129493132216603
"RW2015DHS.2","Rwanda","RW2015DHS","Females",2012-09-29,"0-4",0.0802294808480606,0.0672473602655533,0.0930309153111838
"RW2019DHS.1","Rwanda","RW2019DHS","Males",2017-12-30,"0-4",0.124117496332077,0.107575616221419,0.140352757974471
"RW2019DHS.2","Rwanda","RW2019DHS","Females",2017-12-30,"0-4",0.0711336012070511,0.059810745126728,0.0823200942422201
"SL2008DHS.1","Sierra Leone","SL2008DHS","Males",2005-11-30,"0-4",0.218593122841883,0.185403268536239,0.250430692776277
"SL2008DHS.2","Sierra Leone","SL2008DHS","Females",2005-11-30,"0-4",0.186859904772407,0.157853348416565,0.214867371112226
"SL2013DHS.1","Sierra Leone","SL2013DHS","Males",2011-04-01,"0-4",0.157373192044224,0.137676286589778,0.176620187472484
"SL2013DHS.2","Sierra Leone","SL2013DHS","Females",2011-04-01,"0-4",0.179518242752409,0.157442253016548,0.201015815964819
"SL2019DHS.1","Sierra Leone","SL2019DHS","Males",2017-01-29,"0-4",0.179641217495672,0.15859217977416,0.200163682991029
"SL2019DHS.2","Sierra Leone","SL2019DHS","Females",2017-01-29,"0-4",0.146884735170091,0.126049112154003,0.167223621822036
"SN1993DHS.1","Senegal","SN1993DHS","Males",1991-01-30,"0-4",0.119327927327428,0.0950710424977396,0.142934599279339
"SN1993DHS.2","Senegal","SN1993DHS","Females",1991-01-30,"0-4",0.102641544447851,0.0823310858578612,0.122502478463369
"SN2005DHS.1","Senegal","SN2005DHS","Males",2002-10-30,"0-4",0.126976706635356,0.108493630114209,0.145076584416453
"SN2005DHS.2","Senegal","SN2005DHS","Females",2002-10-30,"0-4",0.116929746625246,0.0981264041365343,0.135341054475879
"SN2010DHS.1","Senegal","SN2010DHS","Males",2008-09-29,"0-4",0.102301836906582,0.0874367097119667,0.116924819793111
"SN2010DHS.2","Senegal","SN2010DHS","Females",2008-09-29,"0-4",0.115777361618946,0.0916757895473239,0.139239419990901
"SN2017DHS.1","Senegal","SN2017DHS","Males",2015-06-01,"0-4",0.0712792799199239,0.0586871073018094,0.0837030039674574
"SN2017DHS.2","Senegal","SN2017DHS","Females",2015-06-01,"0-4",0.0575787581692826,0.0471770314547991,0.0678669318710716
"ST2008DHS.1","Sao Tome and Principe","ST2008DHS","Males",2006-07-02,"0-4",0.15606063149558,0.116337827797671,0.193997796763715
"ST2008DHS.2","Sao Tome and Principe","ST2008DHS","Females",2006-07-02,"0-4",0.109676964329344,0.0699358837999693,0.147719932380092
"SZ2006DHS.1","Eswatini","SZ2006DHS","Males",2004-08-01,"0-4",0.507584926274305,0.469970007958687,0.542530406820107
"SZ2006DHS.2","Eswatini","SZ2006DHS","Females",2004-08-01,"0-4",0.462211053333952,0.426812236188646,0.495423717294559
"TD1997DHS.1","Chad","TD1997DHS","Males",1994-12-30,"0-4",0.162236422431871,0.131503015090157,0.191882270066132
"TD1997DHS.2","Chad","TD1997DHS","Females",1994-12-30,"0-4",0.159729280175974,0.135907649729713,0.182894186746667
"TD2004DHS.1","Chad","TD2004DHS","Males",2002-06-01,"0-4",0.161610186222669,0.135542524269956,0.186891779434283
"TD2004DHS.2","Chad","TD2004DHS","Females",2002-06-01,"0-4",0.183975964230502,0.154450569986202,0.212470373325575
"TD2014DHS.1","Chad","TD2014DHS","Males",2012-09-29,"0-4",0.184723081883148,0.163184657240361,0.205707138420586
"TD2014DHS.2","Chad","TD2014DHS","Females",2012-09-29,"0-4",0.155388626308049,0.137168104646511,0.173224383090812
"TG1998DHS.1","Togo","TG1998DHS","Males",1995-10-30,"0-4",0.174107931396745,0.148686262911119,0.19877046585171
"TG1998DHS.2","Togo","TG1998DHS","Females",1995-10-30,"0-4",0.136449006745268,0.114458139913124,0.157893769270177
"TG2013DHS.1","Togo","TG2013DHS","Males",2011-09-30,"0-4",0.158177927864948,0.138353104807459,0.177546620213381
"TG2013DHS.2","Togo","TG2013DHS","Females",2011-09-30,"0-4",0.158632329502341,0.138626819029669,0.178173209245714
"TL2009DHS.1","Timor-Leste","TL2009DHS","Males",2007-08-02,"0-4",0.0752388198865969,0.0610605277219901,0.0892030152168068
"TL2009DHS.2","Timor-Leste","TL2009DHS","Females",2007-08-02,"0-4",0.0831957378349053,0.0674656470714937,0.0986604917186104
"TL2016DHS.1","Timor-Leste","TL2016DHS","Males",2014-06-01,"0-4",0.112513872993452,0.0858183823689082,0.138429814777874
"TL2016DHS.2","Timor-Leste","TL2016DHS","Females",2014-06-01,"0-4",0.0941029080411457,0.0726815499744174,0.115029425763211
"TZ1996DHS.1","Tanzania","TZ1996DHS","Males",1994-05-02,"0-4",0.234491573662284,0.207710249617532,0.260367623699334
"TZ1996DHS.2","Tanzania","TZ1996DHS","Females",1994-05-02,"0-4",0.169917128243108,0.146745578186455,0.19245941612625
"TZ2004DHS.1","Tanzania","TZ2004DHS","Males",2002-08-02,"0-4",0.237088529199562,0.210123843140337,0.26313269843098
"TZ2004DHS.2","Tanzania","TZ2004DHS","Females",2002-08-02,"0-4",0.231121407974638,0.207724478036903,0.253827396042611
"TZ2010DHS.1","Tanzania","TZ2010DHS","Males",2007-10-30,"0-4",0.180894603383145,0.157786584289386,0.203368602005992
"TZ2010DHS.2","Tanzania","TZ2010DHS","Females",2007-10-30,"0-4",0.189661872500828,0.167142443608383,0.211572404140975
"TZ2015DHS.1","Tanzania","TZ2015DHS","Males",2013-08-01,"0-4",0.171880513036103,0.152702453579514,0.190624488898239
"TZ2015DHS.2","Tanzania","TZ2015DHS","Females",2013-08-01,"0-4",0.165069360606235,0.145661675476381,0.184036168590247
"TZ2022DHS.1","Tanzania","TZ2022DHS","Males",2019-12-30,"0-4",0.127361046857311,0.109406691462473,0.144953442562408
"TZ2022DHS.2","Tanzania","TZ2022DHS","Females",2019-12-30,"0-4",0.108169320258447,0.0932247942911345,0.122867546089869
"UG1995DHS.1","Uganda","UG1995DHS","Males",1993-01-29,"0-4",0.393131155611142,0.350789925211604,0.432710907313154
"UG1995DHS.2","Uganda","UG1995DHS","Females",1993-01-29,"0-4",0.340255680820792,0.301865018296972,0.376535228721158
"UG2000DHS.1","Uganda","UG2000DHS","Males",1998-08-30,"0-4",0.379921308834408,0.343945269380943,0.413924532066373
"UG2000DHS.2","Uganda","UG2000DHS","Females",1998-08-30,"0-4",0.316837570176034,0.286924233767611,0.345496050175845
"UG2006DHS.1","Uganda","UG2006DHS","Males",2004-03-31,"0-4",0.324455044639862,0.293511411513254,0.354043371471821
"UG2006DHS.2","Uganda","UG2006DHS","Females",2004-03-31,"0-4",0.289777776085511,0.260644717645714,0.317762895078181
"UG2011DHS.1","Uganda","UG2011DHS","Males",2009-05-31,"0-4",0.247850615589091,0.217462953169633,0.277058257163455
"UG2011DHS.2","Uganda","UG2011DHS","Females",2009-05-31,"0-4",0.181646934190953,0.155988396043591,0.206525434982461
"UG2016DHS.1","Uganda","UG2016DHS","Males",2014-06-01,"0-4",0.214874043495386,0.196717123494146,0.232620555465315
"UG2016DHS.2","Uganda","UG2016DHS","Females",2014-06-01,"0-4",0.134486189856584,0.120685919196937,0.148069874117312
"ZA1998DHS.1","South Africa","ZA1998DHS","Males",1996-03-01,"0-4",0.221718405952584,0.196286202467752,0.246345849115919
"ZA1998DHS.2","South Africa","ZA1998DHS","Females",1996-03-01,"0-4",0.109142377106937,0.0931642310494846,0.124838993520131
"ZA2016DHS.1","South Africa","ZA2016DHS","Males",2014-05-02,"0-4",0.220454072427852,0.18772224528327,0.251866926472405
"ZA2016DHS.2","South Africa","ZA2016DHS","Females",2014-05-02,"0-4",0.172764382147356,0.143873333679172,0.200680466612633
"ZM1996DHS.1","Zambia","ZM1996DHS","Males",1994-07-02,"0-4",0.451456470574135,0.420796194467095,0.480493738472355
"ZM1996DHS.2","Zambia","ZM1996DHS","Females",1994-07-02,"0-4",0.379586929766421,0.351326872813148,0.406615810668875
"ZM2002DHS.1","Zambia","ZM2002DHS","Males",1999-10-30,"0-4",0.469305430505931,0.437657081769919,0.499172627661217
"ZM2002DHS.2","Zambia","ZM2002DHS","Females",1999-10-30,"0-4",0.457370808674025,0.428761930877177,0.484546890001176
"ZM2007DHS.1","Zambia","ZM2007DHS","Males",2005-03-31,"0-4",0.398650331657183,0.366916277922172,0.428793679248066
"ZM2007DHS.2","Zambia","ZM2007DHS","Females",2005-03-31,"0-4",0.419241649919461,0.383825291879358,0.452622354109618
"ZM2013DHS.1","Zambia","ZM2013DHS","Males",2011-09-30,"0-4",0.320650560322576,0.296425029172593,0.344041956684039
"ZM2013DHS.2","Zambia","ZM2013DHS","Females",2011-09-30,"0-4",0.274865543798664,0.253652642083785,0.295475526250291
"ZM2018DHS.1","Zambia","ZM2018DHS","Males",2016-07-01,"0-4",0.227457182189708,0.186794903044277,0.266086246157946
"ZM2018DHS.2","Zambia","ZM2018DHS","Females",2016-07-01,"0-4",0.151581879426,0.130691522830681,0.171970219751903
"ZW1994DHS.1","Zimbabwe","ZW1994DHS","Males",1992-05-01,"0-4",0.227593353672766,0.201546290647688,0.252790712470428
"ZW1994DHS.2","Zimbabwe","ZW1994DHS","Females",1992-05-01,"0-4",0.161619013849923,0.141392243838596,0.181369288951723
"ZW1999DHS.1","Zimbabwe","ZW1999DHS","Males",1997-05-31,"0-4",0.424658552590134,0.389362775202643,0.457914179376259
"ZW1999DHS.2","Zimbabwe","ZW1999DHS","Females",1997-05-31,"0-4",0.317864835885487,0.29083756979856,0.3438620514776
"ZW2005DHS.1","Zimbabwe","ZW2005DHS","Males",2003-08-02,"0-4",0.501755194021346,0.474637726975051,0.527472946895604
"ZW2005DHS.2","Zimbabwe","ZW2005DHS","Females",2003-08-02,"0-4",0.455547292384955,0.429941922307547,0.480002542847438
"ZW2010DHS.1","Zimbabwe","ZW2010DHS","Males",2008-08-29,"0-4",0.41461297614955,0.383157066660565,0.444464791324895
"ZW2010DHS.2","Zimbabwe","ZW2010DHS","Females",2008-08-29,"0-4",0.376815480489632,0.350499050626112,0.402065623257761
"ZW2015DHS.1","Zimbabwe","ZW2015DHS","Males",2013-05-31,"0-4",0.284419551101282,0.255019633709819,0.312659229670709
"ZW2015DHS.2","Zimbabwe","ZW2015DHS","Females",2013-05-31,"0-4",0.245353861970517,0.216810562221415,0.272856902592941
